id;X1;X2;X3;Y
1;683.24;955.5;-763.79;4121.12
2;92.5;780.39;769.2;1045.7
3;-23.03;747.23;-557.73;1649.88
4;486.62;-831.65;-482.2;258.46
5;745.55;489.38;740.53;2369.31
6;667.19;585.03;271.99;2665.59
7;-445.87;-0.19;-521.31;-848.87
8;-18.36;-748.36;-471.71;-1003.19
9;-47.98;946.98;701.83;996.24
10;895.45;-843.69;338.39;762.67
11;312.9;-88.21;-266.81;911.41
12;463.63;743.38;322.12;2339.95
13;547.71;495.34;776.02;1805.56
14;-945.53;216.38;770.65;-2812.17
15;112.08;-391.39;-29.81;-347.8
16;-218.3;788.82;531.15;375.58
17;764.35;680.6;476.68;2949.45
18;767.68;-113.58;-787.64;2512.49
19;339.1;701.16;20.77;2144.66
20;-307.69;-212.79;468.72;-1568.61
21;427.92;785.84;-888.6;3210.94
22;-374.18;708.65;-491.93;561.38
23;-110.91;212.99;420.65;-247.16
24;930.07;559.34;485.35;3191.15
25;-635.25;174.19;-714.29;-927.33
26;-779;-429.2;-858.68;-2268.36
27;-703.21;-801.88;168.83;-3467.32
28;-208.85;-812.62;-123.07;-1900.75
29;177.85;948.52;-0.75;2144.32
30;-249.77;729.63;590.49;141.43
31;-493.86;513.21;-264.83;-278.24
32;336.83;-943.51;530.14;-1100.24
33;-821.56;731.91;153.93;-1115.38
34;-174.6;-506.6;-62.8;-1317.87
35;67.46;-78.62;270.71;-149.41
36;-911.9;519.78;-813.92;-1018.55
37;747.05;231.04;693.64;1958.83
38;-73.42;-336.04;-967.51;-71.39
39;309.26;-423.25;719.71;-411.71
40;-637.1;-468.93;543.32;-2981.95
41;17.52;-691.75;-745.02;-603.01
42;990.4;288.9;-459.99;3587.22
43;-77.73;179.55;819.02;-508.15
44;824.68;406.71;774.81;2419.41
45;40.63;-21.35;480.63;-279.56
46;-648.49;662.83;81.56;-702.6
47;-704.36;513.39;982.38;-1783.92
48;516.56;721.32;-833.93;3303.77
49;891.12;-973.11;-708.35;1300.06
50;-110.19;179.66;32.82;-16.18
